Name,Category Names
monday.com,https://s.financesonline.com/uploads/2018/01/monday-1.png,Collaboration@Project Management@Task Management
Wrike,https://s.financesonline.com/uploads/2020/06/vp12e25e1e187a145330a6ee3e33f0d366.png,Collaboration@Project Management@Agile Project Management@Task Management
Freshdesk,https://s.financesonline.com/uploads/2019/08/freshdesk-logo1.png,Messaging@Collaboration@Communications
BitBucket,https://s.financesonline.com/uploads/2016/03/bucket.png,ADM - Application Development Management@IT Management
Heroku,https://s.financesonline.com/uploads/2019/08/heroku-logo1.png,ADM - Application Development Management@PaaS - Platform as a Service
